Country Name,P2014,TMI,TFR, EVT , EVH , EVM , REG , ARE 
Afghanistan,31627506,68.1,4.84,60.37,59.19,61.62,South Asia,Asia & Oceania
Albania,2894475,12.9,1.78,77.83,75.37,80.42,Europe & Central Asia,Europe
Algeria,38934334,22,2.86,74.81,72.51,77.22,Middle East & North Africa,Africa
American Samoa,55434,,,,,,East Asia & Pacific,Asia & Oceania
Andorra,72786,2.1,,,,,Europe & Central Asia,Europe
Angola,24227524,98.8,6.08,52.27,50.8,53.81,Sub-Saharan Africa,Africa
Antigua and Barbuda,90900,6.1,2.08,75.94,73.54,78.45,Latin America & Caribbean,America
Argentina,42980026,11.5,2.32,76.16,72.44,80.06,Latin America & Caribbean,America
Armenia,3006154,13.2,1.53,74.68,70.94,78.59,Europe & Central Asia,Europe
Aruba,103441,,1.66,75.45,73.08,77.95,Latin America & Caribbean,America
Australia,23470118,3.2,1.86,82.25,80.3,84.3,East Asia & Pacific,Asia & Oceania
Austria,8545908,3,1.44,81.34,78.8,84,Europe & Central Asia,Europe
Azerbaijan,9535079,28.9,2,70.76,67.69,73.99,Europe & Central Asia,Europe
"Bahamas, The",383054,10.2,1.87,75.23,72.28,78.34,Latin America & Caribbean,America
Bahrain,1361930,5.6,2.06,76.68,75.77,77.64,Middle East & North Africa,Asia & Oceania
Bangladesh,159077513,32.1,2.18,71.63,70.4,72.91,South Asia,Asia & Oceania
Barbados,283380,12.3,1.79,75.5,73.15,77.96,Latin America & Caribbean,America
Belarus,9470000,3.5,1.62,72.98,68,78.2,Europe & Central Asia,Europe
Belgium,11231213,3.4,1.75,80.59,78.1,83.2,Europe & Central Asia,Europe
Belize,351706,14.6,2.58,70.08,67.36,72.94,Latin America & Caribbean,America
Benin,10598482,65.7,4.77,59.51,58.11,60.98,Sub-Saharan Africa,Africa
Bermuda,65181,,1.63,80.8,77.09,84.69,North America,America
Bhutan,765008,28.3,2.03,69.47,69.22,69.73,South Asia,Asia & Oceania
Bolivia,10561887,31.7,2.97,68.34,65.94,70.86,Latin America & Caribbean,America
Bosnia and Herzegovina,3817554,5.4,1.26,76.43,73.96,79.03,Europe & Central Asia,Europe
Botswana,2219937,35.6,2.84,64.43,62.14,66.83,Sub-Saharan Africa,Africa
Brazil,206077898,14.4,1.79,74.4,70.74,78.25,Latin America & Caribbean,America
Brunei Darussalam,417394,8.5,1.87,78.81,76.99,80.72,East Asia & Pacific,Asia & Oceania
Bulgaria,7223938,9.7,1.48,75.41,71.7,79.3,Europe & Central Asia,Europe
Burkina Faso,17589198,62.2,5.52,58.59,57.31,59.93,Sub-Saharan Africa,Africa
Burundi,10816860,55.8,5.95,56.69,54.75,58.73,Sub-Saharan Africa,Africa
Cabo Verde,513906,21.3,2.3,73.15,71.37,75.02,Sub-Saharan Africa,Africa
Cambodia,15328136,26.3,2.64,68.21,66.22,70.3,East Asia & Pacific,Asia & Oceania
Cameroon,22773014,58.6,4.7,55.49,54.36,56.68,Sub-Saharan Africa,Africa
Canada,35543658,4.4,1.61,81.96,80.02,83.99,North America,America
Cayman Islands,59172,,,,,,Latin America & Caribbean,America
Central African Republic,4804316,93.5,4.29,50.66,48.85,52.56,Sub-Saharan Africa,Africa
Chad,13587053,86.7,6.16,51.56,50.51,52.66,Sub-Saharan Africa,Africa
Channel Islands,162917,,1.47,80.61,78.73,82.58,Europe & Central Asia,Europe
Chile,17762647,7.2,1.76,81.5,78.64,84.49,Latin America & Caribbean,America
China,1364270000,9.8,1.56,75.78,74.29,77.35,East Asia & Pacific,Asia & Oceania
Colombia,47791393,14.1,1.9,73.99,70.5,77.66,Latin America & Caribbean,America
Comoros,769991,56.6,4.49,63.26,61.63,64.96,Sub-Saharan Africa,Africa
"Congo, Dem. Rep.",74877030,76.5,6.01,58.66,57.25,60.14,Sub-Saharan Africa,Africa
"Congo, Rep.",4504962,34.4,4.87,62.31,60.84,63.86,Sub-Saharan Africa,Africa
Costa Rica,4757606,8.6,1.82,79.4,77.01,81.91,Latin America & Caribbean,America
Cote d'Ivoire,22157107,68.5,5,51.56,50.74,52.42,Sub-Saharan Africa,Africa
Croatia,4238389,3.8,1.46,77.33,74.5,80.3,Europe & Central Asia,Europe
Cuba,11379111,4.1,1.62,79.39,77.38,81.5,Latin America & Caribbean,America
Curacao,155909,,2,77.82,74.8,81,Latin America & Caribbean,America
Cyprus,1153658,2.6,1.45,80.13,77.97,82.4,Europe & Central Asia,Europe
Czech Republic,10525347,2.9,1.46,78.28,75.3,81.4,Europe & Central Asia,Europe
Denmark,5638530,3,1.67,80.55,78.5,82.7,Europe & Central Asia,Europe
Djibouti,876174,55.8,3.2,62.02,60.44,63.67,Middle East & North Africa,Africa
Dominica,72341,19.5,,,,,Latin America & Caribbean,America
Dominican Republic,10405943,26.2,2.48,73.5,70.44,76.71,Latin America & Caribbean,America
Ecuador,15902916,19,2.54,75.87,73.19,78.69,Latin America & Caribbean,America
"Egypt, Arab Rep.",89579670,21,3.34,71.12,68.99,73.36,Middle East & North Africa,Africa
El Salvador,6107706,14.9,1.93,72.75,68.3,77.44,Latin America & Caribbean,America
Equatorial Guinea,820885,70.3,4.84,57.65,56.33,59.03,Sub-Saharan Africa,Africa
Eritrea,5110444,35,4.28,63.66,61.56,65.87,Sub-Saharan Africa,Africa
Estonia,1314545,2.5,1.52,77.24,72.8,81.9,Europe & Central Asia,Europe
Ethiopia,96958732,42.9,4.4,64.04,62.16,66.01,Sub-Saharan Africa,Africa
Faroe Islands,48221,,2.6,81.69,79.4,84.1,Europe & Central Asia,Europe
Fiji,886450,19.4,2.56,70.09,67.15,73.17,East Asia & Pacific,Asia & Oceania
Finland,5461512,2,1.75,81.13,78.3,84.1,Europe & Central Asia,Europe
France,66217509,3.6,1.99,82.37,79.3,85.6,Europe & Central Asia,Europe
French Polynesia,279781,,2.04,76.54,74.33,78.87,East Asia & Pacific,Asia & Oceania
Gabon,1687673,37,3.91,64.38,63.76,65.04,Sub-Saharan Africa,Africa
"Gambia, The",1928201,48.6,5.72,60.23,58.91,61.62,Sub-Saharan Africa,Africa
Georgia,3727000,11.3,1.82,74.67,71.15,78.36,Europe & Central Asia,Europe
Germany,80970732,3.2,1.39,80.84,78.6,83.2,Europe & Central Asia,Europe
Ghana,26786598,44.2,4.17,61.31,60.36,62.31,Sub-Saharan Africa,Africa
Greece,10869637,3.7,1.3,81.29,78.7,84,Europe & Central Asia,Europe
Greenland,56295,,2.04,,,,Europe & Central Asia,Europe
Grenada,106349,11.1,2.15,73.37,71,75.85,Latin America & Caribbean,America
Guam,167543,,2.39,79.13,76.57,81.81,East Asia & Pacific,Asia & Oceania
Guatemala,16015494,25.1,3.21,71.72,68.28,75.34,Latin America & Caribbean,America
Guinea,12275527,62.8,5.01,58.73,58.27,59.22,Sub-Saharan Africa,Africa
Guinea-Bissau,1800513,62.4,4.84,55.16,53.42,56.99,Sub-Saharan Africa,Africa
Guyana,763893,32.6,2.56,66.41,64.16,68.76,Latin America & Caribbean,America
Haiti,10572029,53.5,3.03,62.75,60.67,64.93,Latin America & Caribbean,America
Honduras,7961680,18,2.38,73.14,70.68,75.71,Latin America & Caribbean,America
"Hong Kong SAR, China",7241700,,1.23,83.98,81.2,86.9,East Asia & Pacific,Asia & Oceania
Hungary,9863183,5.3,1.35,75.87,72.8,79.1,Europe & Central Asia,Europe
